taxid,rank,date,shield_no,timestamp: 2025-03-26
977506,POLICE OFFICER,7/19/2023,20256
965032,POLICE OFFICER,1/10/2018,30700
971894,POLICE OFFICER,7/7/2021,23259
936438,POLICE OFFICER,1/10/2005,31241
936438,DETECTIVE,10/28/2016,5781
950281,POLICE OFFICER,7/6/2011,2211
950281,SERGEANT,1/29/2021,4591
932525,POLICE OFFICER,7/1/2003,24664
932525,DETECTIVE,1/28/2011,5739
932525,DETECTIVE,3/20/2025,5779
936439,POLICE OFFICER,1/10/2005,2896
948012,POLICE OFFICER,1/14/2009,3587
948012,SERGEANT,11/22/2016,603
946898,POLICE OFFICER,7/8/2008,5410
946898,SERGEANT,11/24/2015,2232
977844,POLICE OFFICER,10/25/2023,4100
938324,POLICE OFFICER,7/11/2005,388
938324,DETECTIVE,12/21/2018,5565
957517,POLICE OFFICER,1/7/2015,184
960424,POLICE OFFICER,1/6/2016,8257
963947,POLICE OFFICER,7/5/2017,16313
963947,SERGEANT,11/21/2023,5070
934721,POLICE OFFICER,7/1/2004,10883
934721,DETECTIVE,4/24/2009,931
934721,SERGEANT,1/27/2012,2995
934721,LIEUTENANT,1/27/2023,
950282,POLICE OFFICER,7/6/2011,3719
950282,POLICE OFFICER,7/12/2024,375
946899,POLICE OFFICER,7/8/2008,22323
950919,POLICE OFFICER,7/6/2011,9398
950919,SERGEANT,2/26/2020,1781
955856,POLICE OFFICER,1/8/2014,14018
955856,SERGEANT,11/24/2020,2249
980477,POLICE OFFICER,10/30/2024,6241
917878,POLICE OFFICER,4/15/1997,14954
917878,DETECTIVE,7/31/2002,2145
917878,SERGEANT,2/28/2003,3501
917878,LIEUTENANT,12/23/2008,
917878,CAPTAIN,11/25/2014,
960425,POLICE OFFICER,1/6/2016,18005
965700,POLICE OFFICER,4/25/2018,1968
957518,POLICE OFFICER,1/7/2015,15749
932528,POLICE OFFICER,7/1/2003,26368
932528,SERGEANT,7/25/2008,1689
932528,LIEUTENANT,6/28/2019,
958477,POLICE OFFICER,7/8/2015,20866
969633,POLICE OFFICER,11/2/2020,22656
971397,POLICE OFFICER,4/28/2021,16143
947691,POLICE OFFICER,7/8/2008,22333
940055,POLICE OFFICER,1/9/2006,5210
972340,POLICE OFFICER,7/9/2021,26912
959577,POLICE OFFICER,10/7/2015,325
955857,POLICE OFFICER,1/8/2014,7829
963480,POLICE OFFICER,4/12/2017,13075
941625,POLICE OFFICER,7/10/2006,22062
979811,POLICE OFFICER,7/3/2024,10402
934723,POLICE OFFICER,7/1/2004,7875
934723,SERGEANT,3/26/2010,1655
934723,LIEUTENANT,2/26/2020,
957519,POLICE OFFICER,1/7/2015,15878
933730,POLICE OFFICER,1/20/2004,18390
933730,SERGEANT,2/28/2014,2387
933730,LIEUTENANT,5/3/2019,
933730,CAPTAIN,2/28/2025,
963002,POLICE OFFICER,1/4/2017,25373
962348,POLICE OFFICER,10/11/2016,21705
969635,POLICE OFFICER,11/2/2020,22801
952641,POLICE OFFICER,7/11/2012,31731
952641,DETECTIVE,6/10/2021,2544
953803,POLICE OFFICER,1/9/2013,6674
953803,DETECTIVE,7/29/2019,1571
954704,POLICE OFFICER,7/9/2013,16425
954704,DETECTIVE,10/7/2019,2155
936441,POLICE OFFICER,1/10/2005,17827
934724,POLICE OFFICER,7/1/2004,10978
934724,DETECTIVE,5/27/2022,5230
948856,POLICE OFFICER,7/6/2010,1415
948856,SERGEANT,7/27/2018,1163
955858,POLICE OFFICER,1/8/2014,2588
955858,DETECTIVE,8/25/2023,4169
966018,POLICE OFFICER,7/2/2018,6681
957520,POLICE OFFICER,1/7/2015,9786
940056,POLICE OFFICER,1/9/2006,4758
940056,POLICE OFFICER,3/9/2018,7459
940056,SERGEANT,3/27/2018,1094
960427,POLICE OFFICER,1/6/2016,5214
931625,POLICE OFFICER,7/1/2002,857
931625,DETECTIVE,7/31/2024,4045
972600,POLICE OFFICER,10/12/2021,694
932543,POLICE OFFICER,7/1/2003,30464
932543,DETECTIVE,3/1/2013,6665
963004,POLICE OFFICER,1/4/2017,25167
963004,DETECTIVE,10/25/2024,2753
934729,POLICE OFFICER,7/1/2004,12141
934729,SERGEANT,9/24/2010,1289
934729,LIEUTENANT,11/25/2014,
934729,LT SPECIAL ASSIGN,12/21/2021,
948858,POLICE OFFICER,7/6/2010,4359
933732,POLICE OFFICER,1/20/2004,22839
933732,DETECTIVE,7/27/2018,1671
951659,POLICE OFFICER,1/9/2012,21099
951659,SERGEANT,6/28/2019,189
951659,LIEUTENANT,5/31/2024,
951694,POLICE OFFICER,1/9/2012,21109
951694,SERGEANT,3/5/2019,3533
952645,POLICE OFFICER,7/11/2012,15205
952645,DETECTIVE,9/29/2023,7566
932535,POLICE OFFICER,7/1/2003,31979
932535,SERGEANT,12/21/2012,3
932535,LIEUTENANT,8/30/2016,
905427,POLICE OFFICER,1/14/1994,14716
905427,POLICE OFFICER,2/11/1999,12944
905427,DETECTIVE,8/29/2003,6584
976513,POLICE OFFICER,1/31/2023,1424
924258,POLICE OFFICER,7/7/1999,6379
924258,DETECTIVE,4/24/2009,1023
948199,POLICE OFFICER,7/14/2009,26496
948199,DETECTIVE,12/19/2014,693
948199,SERGEANT,10/30/2019,1299
948199,LIEUTENANT,4/4/2024,
974821,POLICE OFFICER,8/29/2022,19261
946900,POLICE OFFICER,7/8/2008,15535
946900,SERGEANT,9/3/2021,1908
928165,POLICE OFFICER,7/2/2001,22440
928165,POLICE OFFICER,4/11/2003,3244
928165,SERGEANT,11/24/2009,675
945649,POLICE OFFICER,1/7/2008,27867
951660,POLICE OFFICER,1/9/2012,14108
951660,DETECTIVE,6/10/2021,2552
938333,POLICE OFFICER,7/11/2005,12231
938333,SERGEANT,2/26/2020,2340
971896,POLICE OFFICER,7/7/2021,23276
940487,POLICE OFFICER,1/9/2006,5403
940487,DETECTIVE,5/31/2024,1686
952647,POLICE OFFICER,7/11/2012,23177
954705,POLICE OFFICER,7/9/2013,13052
954705,SERGEANT,6/25/2020,4045
954705,LIEUTENANT,4/4/2024,
948859,POLICE OFFICER,7/6/2010,8643
948859,DETECTIVE,11/21/2017,1718
950287,POLICE OFFICER,7/6/2011,25471
944488,POLICE OFFICER,7/9/2007,5816
944488,DETECTIVE,2/28/2025,1324
951661,POLICE OFFICER,1/9/2012,164
951661,DETECTIVE,11/20/2018,1183
936446,POLICE OFFICER,1/10/2005,16852
936447,POLICE OFFICER,1/10/2005,17636
936447,DETECTIVE,8/27/2010,1663
936447,SERGEANT,12/21/2012,1512
936447,SGT DET SQUAD,7/21/2022,
954706,POLICE OFFICER,7/9/2013,31781
938334,POLICE OFFICER,7/11/2005,27551
938334,SERGEANT,8/2/2011,653
938334,LIEUTENANT,6/5/2018,
938334,CAPTAIN,1/27/2023,
938327,POLICE OFFICER,7/11/2005,2169
944489,POLICE OFFICER,7/9/2007,14377
944489,SERGEANT,11/24/2015,2244
920188,POLICE OFFICER,12/8/1997,28881
920188,DETECTIVE,9/25/2002,6307
920188,SERGEANT,11/30/2005,358
920188,LIEUTENANT,11/2/2009,
920188,CAPTAIN,6/28/2013,
920188,DEPUTY INSPECTOR,11/21/2017,
920188,INSPECTOR,4/30/2020,
920188,DEPUTY CHIEF,8/26/2022,
934730,POLICE OFFICER,7/1/2004,9577
934730,DETECTIVE,5/29/2020,1116
950288,POLICE OFFICER,7/6/2011,25503
950288,SERGEANT,10/28/2022,1976
980478,POLICE OFFICER,10/30/2024,30864
915565,POLICE OFFICER,6/30/1995,31394
947736,POLICE OFFICER,7/8/2008,8350
930010,POLICE OFFICER,7/1/2002,27304
930010,SERGEANT,12/21/2007,503
930010,LIEUTENANT,8/30/2012,
930010,LT DET COMMANDER,11/24/2020,
946901,POLICE OFFICER,7/8/2008,18002
946901,DETECTIVE,7/27/2018,1677
939816,POLICE OFFICER,1/9/2006,28092
939816,SERGEANT,10/7/2019,3463
940062,POLICE OFFICER,1/9/2006,30124
944050,POLICE OFFICER,1/10/2007,28599
944050,DETECTIVE,10/31/2023,3209
956574,POLICE OFFICER,7/9/2014,3786
956574,SERGEANT,5/31/2024,1505
966021,POLICE OFFICER,7/2/2018,9289
954707,POLICE OFFICER,7/9/2013,14095
958483,POLICE OFFICER,7/8/2015,20553
958483,SERGEANT,5/30/2023,1653
938337,POLICE OFFICER,7/11/2005,7347
938337,DETECTIVE,3/30/2012,2119
938337,SERGEANT,3/28/2013,3639
938337,SGT DET SQUAD,7/27/2018,
978471,POLICE OFFICER,1/3/2024,19734
978471,POLICE OFFICER,1/25/2024,6355
941631,POLICE OFFICER,7/10/2006,7354
941631,SERGEANT,11/3/2014,4767
941631,LIEUTENANT,2/24/2017,
941631,CAPTAIN,7/30/2021,
941631,DEPUTY INSPECTOR,10/31/2023,
940063,POLICE OFFICER,1/9/2006,30134
940063,SERGEANT,8/29/2013,3152
940063,LIEUTENANT,12/22/2020,
969640,POLICE OFFICER,11/2/2020,23165
926869,POLICE OFFICER,9/29/2000,20344
926869,SERGEANT,10/25/2013,387
951662,POLICE OFFICER,1/9/2012,14134
925170,POLICE OFFICER,3/1/2000,8171
925170,SERGEANT,9/29/2008,3045
925170,SGT DET SQUAD,9/28/2011,
960434,POLICE OFFICER,1/6/2016,12425
960434,DETECTIVE,5/31/2024,4106
953806,POLICE OFFICER,1/9/2013,2597
953806,SERGEANT,11/24/2020,3891
943139,POLICE OFFICER,1/10/2007,14440
951917,POLICE OFFICER,1/9/2012,12604
951917,DETECTIVE,11/20/2018,1190
936449,POLICE OFFICER,1/10/2005,19936
936449,DETECTIVE,6/28/2013,1993
941634,POLICE OFFICER,7/10/2006,24451
941634,SERGEANT,9/30/2016,1273
941635,POLICE OFFICER,7/10/2006,10918
941635,DETECTIVE,11/24/2015,2078
941635,SERGEANT,6/9/2017,1012
941635,LIEUTENANT,11/24/2020,
961729,POLICE OFFICER,7/13/2016,584
961729,DETECTIVE,1/31/2025,3345
956575,POLICE OFFICER,7/9/2014,8566
957523,POLICE OFFICER,1/7/2015,9791
957523,DETECTIVE,12/21/2021,5039
969038,POLICE OFFICER,1/27/2020,23535
962349,POLICE OFFICER,10/11/2016,23210
964479,POLICE OFFICER,10/18/2017,3876
965033,POLICE OFFICER,1/10/2018,28256
969039,POLICE OFFICER,1/27/2020,23555
952648,POLICE OFFICER,7/11/2012,13579
952648,DETECTIVE,11/21/2017,1794
